	pred_ind	arg_ind	tokenized	label
0	6	2	The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .	AGENT
1	10	8	The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .	NONE
2	10	12	The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .	PATIENT
3	18	1	In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .	NONE
4	18	4	In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .	PATIENT
5	18	21	In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .	NONE
6	18	25	In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .	NONE
7	1	0	Guerrillas killed an engineer , Asi Ali , from Tikrit .	AGENT
8	1	3	Guerrillas killed an engineer , Asi Ali , from Tikrit .	PATIENT
9	3	0	Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .	AGENT
10	3	5	Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .	PATIENT
11	2	1	The Commission said it had no legal grounds for such an exclusion .	AGENT
12	6	5	Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .	AGENT
13	24	10	Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .	PATIENT
14	5	1	A team from the court managed to take his deposition before he died .	AGENT
15	12	11	A team from the court managed to take his deposition before he died .	PATIENT
16	2	3	Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .	FORCES
17	13	15	Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .	INSTRUMENT
18	32	31	Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .	AGENT
19	33	34	Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .	INSTRUMENT
20	37	41	Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .	FORCES
21	2	3	And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .	FORCES
22	14	11	And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .	AGENT
23	20	21	And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .	PATIENT
24	23	11	And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .	AGENT
25	1	2	"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."	INSTRUMENT
26	33	30	"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."	AGENT
27	38	34	"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."	AGENT
28	1	0	I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again .	AGENT
29	4	2	Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone .	AGENT
30	4	10	Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone .	NONE
31	4	3	Al - Iraqiyah tv said that ICDC were controlling Ramadi .	AGENT
32	8	6	Al - Iraqiyah tv said that ICDC were controlling Ramadi .	AGENT
33	8	9	Al - Iraqiyah tv said that ICDC were controlling Ramadi .	PATIENT
34	2	1	"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."	FORCES
35	2	4	"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."	INSTRUMENT
36	34	33	"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."	AGENT
37	38	40	"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."	PATIENT
38	54	52	"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."	NONE
39	65	67	"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."	FORCES
40	1	0	"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."	AGENT
41	7	4	"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."	PATIENT
42	7	8	"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."	NONE
43	19	17	"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."	AGENT
44	29	27	"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."	PATIENT
45	57	50	"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."	PATIENT
46	2	0	We all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout .	NONE
47	4	3	We all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout .	FORCES
48	9	0	One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .	NONE
49	18	15	One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .	FORCES
50	18	20	One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .	NONE
51	36	32	One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .	PATIENT
52	9	2	The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .	AGENT
53	9	12	The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .	PATIENT
54	17	12	The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .	NONE
55	24	2	The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .	NONE
56	28	2	The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .	INSTRUMENT
57	28	31	The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .	NONE
58	33	1	The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .	INSTRUMENT
59	33	37	The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .	MANNER
60	53	47	The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .	PATIENT
61	58	56	The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .	FORCES
62	1	3	There is a lot to learn about Chernobyl .	FORCES
63	1	3	There are a wealth of references on Chernobyl .	INSTRUMENT
64	2	1	These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :	INSTRUMENT
65	2	5	These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :	FORCES
66	7	5	These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :	NONE
67	7	2	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....	NONE
68	7	6	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....	AGENT
69	7	9	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....	NONE
70	15	14	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....	AGENT
71	15	16	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....	FORCES
72	34	30	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....	PATIENT
73	44	46	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....	PATIENT
74	8	4	The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .	AGENT
75	8	10	The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .	AGENT
76	3	0	S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .	AGENT
77	3	5	S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .	AGENT
78	8	5	S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .	NONE
79	8	9	S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .	NONE
80	22	24	S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .	PATIENT
81	1	0	"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda ."	NONE
82	4	9	"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda ."	AGENT
83	26	29	"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda ."	PATIENT
84	1	0	Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .	AGENT
85	1	2	Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .	PATIENT
86	1	4	Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .	NONE
87	3	2	Al - Zawahiri attempted to use Musharraf 's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow .	AGENT
88	3	2	The Kashmir issue generates far more terrorism , and even the threat of nuclear war , than Iraq ever did .	PATIENT
89	3	6	The Kashmir issue generates far more terrorism , and even the threat of nuclear war , than Iraq ever did .	FORCES
90	1	0	Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .	AGENT
91	1	4	Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .	AGENT
92	1	8	Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .	NONE
93	1	12	Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .	NONE
94	15	18	Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .	PATIENT
95	20	22	Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .	INSTRUMENT
96	2	1	The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .	AGENT
97	18	19	The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .	PATIENT
98	21	22	The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .	PATIENT
99	1	0	We need an FDR in Iraq , not a Ronald Reagan .	AGENT
100	1	3	We need an FDR in Iraq , not a Ronald Reagan .	NONE
101	1	5	We need an FDR in Iraq , not a Ronald Reagan .	NONE
102	1	10	We need an FDR in Iraq , not a Ronald Reagan .	NONE
103	6	1	The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball .	NONE
104	3	2	George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .	AGENT
105	8	7	George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .	AGENT
106	8	10	George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .	FORCES
107	5	1	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .	NONE
108	8	7	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .	AGENT
109	8	10	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .	NONE
110	17	16	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .	AGENT
111	28	23	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .	FORCES
112	28	29	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .	FORCES
113	2	1	' Bush fails reporter 's pop quiz on international leaders	AGENT
114	2	6	' Bush fails reporter 's pop quiz on international leaders	FORCES
115	10	3	The front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston .	AGENT
116	10	17	The front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston .	MANNER
117	1	0	Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .	AGENT
118	1	2	Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .	AGENT
119	4	6	Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .	NONE
120	1	0	Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .	AGENT
121	10	7	Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .	AGENT
122	10	11	Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .	PATIENT
123	11	12	""" Wait , wait , is this 50 questions ? "" asked Bush ."	AGENT
124	1	0	"Hiller replied : "" No , it 's four questions of four leaders in four hot spots . "" . . ."	AGENT
125	1	0	Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .	AGENT
126	1	3	Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .	INSTRUMENT
